year	number	party_name	report_date	report_url	verify_url
2019	28	Всероссийская политическая партия «Гражданская инициатива»	 31.03.2020 	/politparty/finance/svodn_otchet_19/GRAZD_INICIATIVA.PDF	/politparty/finance/svodn_otchet_19/GRAZD_INICIATIVA.docx
2019	29	Политическая партия «Партия Возрождения России»	 30.03.2020 	/politparty/finance/svodn_otchet_19/VOZROZHDENIA_ROSSII.PDF	/politparty/finance/svodn_otchet_19/VOZROZHDENIA_ROSSII.doc
2019	30	Политическая партия «Национальный курс»	 05.02.2020 	/politparty/finance/svodn_otchet_19/KURS.PDF	/politparty/finance/svodn_otchet_19/KURS.doc
2019	31	Общероссийская политическая партия «НАРОД ПРОТИВ КОРРУПЦИИ»	 16.06.2020 	/politparty/finance/svodn_otchet_19/PROTIV_KORRUPCII.PDF	/politparty/finance/svodn_otchet_19/PROTIV_KORRUPTSII_NEW.doc
2019	32	Политическая партия «РОДНАЯ ПАРТИЯ»	 30.03.2020 	/politparty/finance/svodn_otchet_19/RODNAYA.PDF	/politparty/finance/svodn_otchet_19/RODNAYA.doc
2019	33	Всероссийская политическая партия «Интернациональная партия России»	 28.01.2020 	/politparty/finance/svodn_otchet_19/INTERNACIONAL.PDF	/politparty/finance/svodn_otchet_19/INTERNACIONAL.doc
2019	34	Политическая партия «ПАРТИЯ СОЦИАЛЬНЫХ РЕФОРМ - Прибыль от природных ресурсов - Народу»	 30.03.2020 	/politparty/finance/svodn_otchet_19/SOCIALNYH_REFORM.PDF	/politparty/finance/svodn_otchet_19/SOCIALNYH_REFORM.doc
2019	35	Политическая партия «Объединенная партия людей ограниченной трудоспособности России»	 19.03.2020 	/politparty/finance/svodn_otchet_19/OPLOT.PDF	/politparty/finance/svodn_otchet_19/OPLOT.doc
2019	36	Общественная организация - Политическая партия «Добрых дел, защиты детей, женщин, свободы, природы и пенсионеров»	 03.02.2020 	/politparty/finance/svodn_otchet_19/DOBRIH_DEL.PDF	/politparty/finance/svodn_otchet_19/DOBRIH_DEL.doc
2019	37	Общественная организация Политическая партия «Возрождение аграрной России»	 02.11.2020  	/politparty/finance/svodn_otchet_19/VOZROJDENIYE AGRARNOY ROSSII.PDF	/politparty/finance/svodn_otchet_19/VOZROJDENIYE AGRARNOY ROSSII.docx
2019	38	Политическая партия «Альтернатива для России (Партия Социалистического выбора)»	 27.03.2020 	/politparty/finance/svodn_otchet_19/ALTERNATIVA DLYA ROSSII.PDF	/politparty/finance/svodn_otchet_19/ALTERNATIVA DLYA ROSSII.docx
2019	39	Общественная организация - Политическая партия «ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО»	 15.04.2020 	/politparty/finance/svodn_otchet_19/RODITELEY.PDF	/politparty/finance/svodn_otchet_19/RODITELEY.doc
2019	40	Политическая партия «Партия Малого Бизнеса России»	 19.03.2020 	/politparty/finance/svodn_otchet_19/MALOGO BIZNESA.PDF	/politparty/finance/svodn_otchet_19/MALOGO BIZNESA.doc
2019	41	Политическая партия «Народно-патриотическая партия России – Власть Народу»	 19.03.2020 	/politparty/finance/svodn_otchet_19/VLAST_NARODU.PDF	/politparty/finance/svodn_otchet_19/VLAST_NARODU.doc
2018	1	Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	 28.03.2019 	/politparty/finance/svodn_otchet_18/EDINAYA_ROSSIA.PDF	/politparty/finance/svodn_otchet_18/EDINAYA_ROSSIA.doc
2018	2	Политическая партия «КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ»	 28.03.2019 	/politparty/finance/svodn_otchet_18/KPRF.PDF	/politparty/finance/svodn_otchet_18/KPRF.doc
2018	3	Политическая партия ЛДПР – Либерально-демократическая партия России	 29.03.2019 	/politparty/finance/svodn_otchet_18/LDPR.PDF	/politparty/finance/svodn_otchet_18/LDPR.docx
2018	4	Политическая партия «ПАТРИОТЫ РОССИИ»	 29.03.2019 	/politparty/finance/svodn_otchet_18/PATRIOTY.PDF	/politparty/finance/svodn_otchet_18/PATRIOTY.doc
2018	5	Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	 29.03.2019 	/politparty/finance/svodn_otchet_18/YABLOKO.PDF	/politparty/finance/svodn_otchet_18/YABLOKO.doc
2018	6	Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	 29.03.2019 	/politparty/finance/svodn_otchet_18/SPRAVEDLIVAYA.PDF	/politparty/finance/svodn_otchet_18/SPRAVEDLIVAYA.doc
2018	7	Всероссийская политическая партия «ПАРТИЯ РОСТА»	 01.04.2019 	/politparty/finance/svodn_otchet_18/PARTIY ROSTA.PDF	/politparty/finance/svodn_otchet_18/PARTIY ROSTA.doc
